resp_id,cty,cons_trt,info_trt,prefer_prop,asylum_home,ideo_scale,know_index,female,age,emp_status,employed,eisced,inc_decile
R_AGq9qQzQ5nVP0gp,Netherlands,0,0,1,0,5,0,1,52,2. Self-employed,1,7,2
R_BPn933UiNlFPwlz,Czech Republic,0,0,1,-2,5,1,0,60,1. Paid employee,1,7,3
R_28Ahwe507CaY9V4,Netherlands,1,0,0,-2,5,0,1,66,6. Chronic illness or permanent disability,0,2,1
R_9TTKaiaS43S1yV3,Denmark,1,0,0,0,5,2,0,53,1. Paid employee,1,6,4
R_xasS2Yxsvnzjpip,Norway,1,0,0,0,4,1,0,48,1. Paid employee,1,7,6
R_2TN2ZApj5tqSHwO,Denmark,0,1,1,0,4,1,1,63,7. Retired,0,6,5
R_2TZAo8Bd2VmlsHI,Austria,0,1,1,-2,10,3,0,63,7. Retired,0,3,1
R_3LYVDgs0n2BAxWb,Greece,1,1,1,0,6,1,0,32,2. Self-employed,1,6,5
R_1gtMSSZBUxRGgL7,Norway,0,1,0,0,5,1,1,21,3. Student,0,4,7
R_3rHsu3e02i7JX1I,Sweden,0,1,0,1,4,3,0,51,1. Paid employee,1,3,9
R_2dDVB1x65LeZpR3,Greece,1,0,0,0,5,1,1,42,1. Paid employee,1,5,5
R_TuyLNO73WUJglvH,Norway,1,0,1,-1,4,2,0,43,"4. Unemployed, searching",0,7,3
R_3Hn82IHKsCip4Qs,Greece,0,1,1,-1,10,1,0,43,2. Self-employed,1,4,10
R_3WQtuviktnjPr7X,Greece,1,0,1,0,4,2,1,43,1. Paid employee,1,7,10
R_237XtwIy4OY509V,Germany,0,1,0,0,7,2,0,33,1. Paid employee,1,NA,4
R_9GDdppFuluESbQZ,Norway,1,0,1,2,2,2,1,68,7. Retired,0,6,10
R_DvqvRv1PW0MnY8F,Netherlands,0,0,1,-1,2,1,0,24,1. Paid employee,1,6,9
R_1hG6Hb6s6r1OQXd,Greece,0,0,0,0,4,2,1,32,1. Paid employee,1,7,2
R_27lBnvHhuazbUHe,Netherlands,0,0,1,-2,5,3,0,36,1. Paid employee,1,3,4
R_3RgOqDm8XBMNXvA,Denmark,1,1,0,-2,5,1,1,29,1. Paid employee,1,5,6
R_3NODxbcRcqDGsMd,Germany,1,0,1,0,3,2,0,49,1. Paid employee,1,6,10
R_2yg87lIfmMDKhie,Greece,0,1,1,-2,8,3,0,49,7. Retired,0,6,8
R_3PbOnE90c6S1acn,Norway,0,0,1,0,5,2,1,49,1. Paid employee,1,7,10
R_PXVJGeZ8m0ypNfj,Denmark,0,0,1,0,4,1,1,63,7. Retired,0,4,NA
R_2fkcMfHH5EPusQ9,Austria,1,0,0,-1,5,2,0,38,1. Paid employee,1,7,9
R_1rijBxc95ElXydz,Switzerland,0,0,1,-1,5,3,0,44,1. Paid employee,1,4,3
R_VJqEcsfc0dErtAt,Switzerland,0,1,1,0,6,2,1,30,1. Paid employee,1,4,3
R_2rGRAcZz6y0hEWS,Austria,1,1,1,0,4,3,0,30,1. Paid employee,1,6,5
R_1mq4mtIomKeMjtz,Norway,0,1,0,-1,7,0,1,23,3. Student,0,4,10
R_zV9RYPWUx92LiSJ,Switzerland,1,1,1,-1,6,3,1,30,1. Paid employee,1,4,2
R_2QonTVgSIWKNfLO,Greece,0,0,1,-2,5,1,1,43,"4. Unemployed, searching",0,3,5
R_3DeA7KHhX16ldA3,Sweden,1,0,0,0,3,2,1,58,"5. Unemployed, not searching",0,3,2
R_pbhIhUDmZxFjDrj,Switzerland,0,1,1,0,5,2,1,26,3. Student,0,6,4
R_2BfFl8j2qY9hNwX,Denmark,0,1,1,1,1,2,0,56,8. Working at home,0,6,1
R_3JfakwmUbUbk8E6,Poland,0,0,1,0,5,2,1,20,3. Student,0,2,1
R_3OkTOs0TbSzJEfA,Germany,0,0,1,0,0,2,0,62,2. Self-employed,1,6,9
R_2AGt1loMcgJgefW,Norway,0,1,1,-2,7,2,1,41,1. Paid employee,1,7,10
R_27BWOicFjYll2HT,Italy,0,1,1,-1,5,2,1,53,1. Paid employee,1,4,5
R_3HhRvO4zRHGB14J,Czech Republic,0,0,1,-1,5,1,1,50,1. Paid employee,1,5,10
R_727o94FEHFNLh7z,Denmark,1,1,0,-2,5,0,0,45,1. Paid employee,1,2,5
R_3Hn0Nez0j2M585O,Poland,1,0,0,-2,8,1,1,41,1. Paid employee,1,3,5
R_pEGeC1a2xL8Ruj7,Netherlands,1,1,1,-1,5,1,1,63,"5. Unemployed, not searching",0,4,4
R_2yf2O93QNlYJPyG,Sweden,1,1,1,-2,7,3,0,42,1. Paid employee,1,4,6
R_2S8kvyg385RwrNb,Poland,0,0,0,0,7,2,0,41,2. Self-employed,1,6,4
R_3MsNPZOBUBHaVp0,Sweden,1,1,1,-1,7,1,0,51,1. Paid employee,1,6,10
R_1H2LbXtpStxuPiM,Greece,0,0,0,-1,2,1,1,30,2. Self-employed,1,6,3
R_2uKHEOadr422oj5,Netherlands,0,0,0,0,3,0,1,47,1. Paid employee,1,2,5
R_31aTkXB0FRE8kSo,Netherlands,1,1,1,0,0,1,1,49,1. Paid employee,1,2,2
R_1d0066Jls1NCS55,Sweden,1,0,0,0,5,1,1,34,1. Paid employee,1,6,8
R_rlupF0lKfX1nilX,Netherlands,0,0,1,2,3,1,0,48,1. Paid employee,1,4,8
R_2w48RS4gSvPFJjH,Greece,0,0,1,1,6,3,0,33,2. Self-employed,1,7,5
R_1IgBprlcBDpWOYt,Hungary,1,1,1,-2,5,2,0,25,"4. Unemployed, searching",0,5,5
R_21aZ8Kx3s6B5L7D,Czech Republic,0,0,1,0,7,2,1,24,1. Paid employee,1,6,8
R_1cYcomfaDHN9Ahq,Sweden,1,0,0,2,4,2,0,32,1. Paid employee,1,4,9
R_29iwKpEQj4uipNe,Netherlands,0,0,1,1,8,2,0,23,3. Student,0,7,2
R_2e2tR8tKGPfvC9a,Norway,1,0,0,0,5,1,1,49,6. Chronic illness or permanent disability,0,4,2
R_2YueObgcOJn6b5b,Poland,0,0,1,1,5,1,1,49,1. Paid employee,1,7,10
R_2fiII3dQNXbNNUo,Italy,0,1,0,0,3,2,0,56,1. Paid employee,1,4,10
R_3oED4kQt3MJWG5B,Norway,0,0,1,0,4,2,0,49,1. Paid employee,1,5,2
R_3Ppl6DKxU1v1P4C,Norway,1,0,1,-1,4,2,0,52,1. Paid employee,1,5,2
R_2rj74cLYmfbrEbK,Poland,0,0,0,0,9,2,0,22,3. Student,0,4,8
R_3I5lRwhjGiTEZNT,Greece,0,1,1,1,7,2,1,19,3. Student,0,4,4
R_1pyg4pxZUfCaedJ,Poland,0,1,1,0,2,2,0,41,1. Paid employee,1,7,9
R_332KQcHEMZ0e5bh,Norway,0,0,0,-2,7,1,0,57,1. Paid employee,1,4,3
R_2vcX62KGfbnlgYG,Poland,0,0,0,-1,5,0,0,19,3. Student,0,4,6
R_30knyeNmZ4fyUdW,Greece,1,1,0,-1,5,3,1,44,1. Paid employee,1,6,8
R_3G3zpyYa59cvxeg,Norway,1,1,1,-2,10,2,1,61,6. Chronic illness or permanent disability,0,5,4
R_1Nky84xjrdjWOMB,Greece,0,1,0,-1,5,3,0,46,1. Paid employee,1,7,6
R_2TRCJ2FQxjaXXME,Netherlands,0,1,0,-2,6,1,0,47,6. Chronic illness or permanent disability,0,2,1
R_1DYKqc3NJorp5wp,Germany,0,1,0,-2,3,1,1,68,7. Retired,0,3,3
R_1LUSA54Ujb07RwZ,Hungary,0,0,1,1,2,3,0,55,1. Paid employee,1,6,7
R_3KAsqQiURjpEAxq,Austria,0,1,1,1,2,2,1,25,1. Paid employee,1,6,2
R_2UbZ2Ue4A1Ou7nG,Czech Republic,1,0,1,-1,5,2,0,24,1. Paid employee,1,6,9
R_3iCmuZer7ztgvLJ,Greece,1,1,1,-1,5,0,0,36,"4. Unemployed, searching",0,2,1
R_3EaIXpQPW8XxtUz,Czech Republic,1,1,1,0,9,2,0,33,1. Paid employee,1,7,7
R_27PbHp9JyNasKZJ,Netherlands,0,0,1,-1,1,1,0,35,1. Paid employee,1,6,6
R_pDEOQN5rJaL43sJ,Norway,0,0,1,-1,2,1,1,66,1. Paid employee,1,5,4
R_VI6RknXhTKmSOm5,Sweden,1,0,1,-2,1,3,0,63,6. Chronic illness or permanent disability,0,3,5
R_eM1gJnfe1J0DDyh,Czech Republic,0,0,0,-2,5,1,0,47,1. Paid employee,1,3,9
R_24LXKRcvSwy0jWt,Hungary,0,1,1,1,5,2,0,63,7. Retired,0,4,3
R_1gbxidubqT3NI8S,Sweden,1,1,0,-2,6,3,1,36,8. Working at home,0,1,7
R_1gClYcR9TaWcSzR,Switzerland,1,0,1,0,3,2,0,43,1. Paid employee,1,5,7
R_XiHhFAECuVQBWRr,Sweden,0,0,1,-1,6,2,1,24,1. Paid employee,1,4,9
R_1DUawPorBIxIQjz,Denmark,0,0,0,0,8,2,0,68,7. Retired,0,3,1
R_3oBL3znJQM6eDEA,Netherlands,1,1,0,-2,7,1,1,53,"4. Unemployed, searching",0,3,2
R_qRb77oltyYnmeEF,Italy,1,0,1,0,4,3,0,57,2. Self-employed,1,6,4
R_2B96ma4E8yloVHg,Poland,1,1,1,-2,3,1,0,44,6. Chronic illness or permanent disability,0,5,4
R_1qWJHnXwT9E0aSF,Greece,1,1,1,0,3,2,1,51,1. Paid employee,1,6,8
R_1gSkmV7xtyF5gfC,Denmark,0,0,1,-1,7,3,0,42,1. Paid employee,1,3,9
R_3KZtxREN21Zybcb,Switzerland,1,0,1,1,1,1,1,22,3. Student,0,6,7
R_3EM4L5B8EbwPgaQ,Sweden,1,1,0,1,8,1,1,26,2. Self-employed,1,1,5
R_1pYe8yDNyLfTf61,Italy,1,0,0,-1,7,2,1,27,1. Paid employee,1,4,5
R_3M40RwceOdPLpeR,Sweden,0,0,0,-2,5,3,0,25,"4. Unemployed, searching",0,4,1
R_0DQ3MOB9a5VCKc5,Netherlands,0,1,1,0,5,1,1,38,8. Working at home,0,3,5
R_2dT0QeLUETFVLEw,Netherlands,0,1,0,1,8,0,0,29,2. Self-employed,1,4,6
R_2f3Ug5Qwz6cjPUX,Denmark,1,1,1,0,5,1,1,56,1. Paid employee,1,6,10
R_TcRvhV1aBfUzR73,United Kingdom,1,0,0,-1,4,2,0,54,2. Self-employed,1,1,7
R_27sqJnKgGwVcN5S,Austria,1,1,1,-2,7,2,1,66,7. Retired,0,3,4
R_sdTwd4ravRZeb2F,Poland,0,0,1,0,4,0,1,41,1. Paid employee,1,1,1
R_1f6KkbdruRftyBa,Hungary,0,0,1,1,5,2,0,44,6. Chronic illness or permanent disability,0,6,5
R_40YG02QN1yZ44Sh,Netherlands,1,1,0,0,5,2,0,48,1. Paid employee,1,2,4
R_UcDPxyvszxoPdiV,Netherlands,0,1,1,-1,8,2,0,40,1. Paid employee,1,2,7
R_1NlbIRTwsFPVgLU,Greece,0,1,1,-1,3,3,0,30,1. Paid employee,1,7,4
R_3PGgCssKyRVFVeS,Hungary,0,1,1,0,7,2,0,22,3. Student,0,4,9
R_30d8As4VzqM0yDf,Denmark,1,0,1,-1,6,1,1,53,2. Self-employed,1,4,10
R_1Fy344I6k8NjTbQ,France,0,0,1,0,5,0,0,46,"4. Unemployed, searching",0,2,1
R_3PG3l1Iyf1WtI2y,Hungary,1,1,1,-2,9,3,1,32,1. Paid employee,1,7,6
R_2wuFmdqV1YpPufi,Hungary,0,0,1,-1,5,2,0,36,"4. Unemployed, searching",0,4,2
R_RtrnWbnWRUbpNmh,Denmark,1,1,1,0,3,1,0,47,"5. Unemployed, not searching",0,3,2
R_3J2eh99jWsAOXeK,Denmark,0,1,1,0,6,1,1,26,3. Student,0,7,1
R_31tkBzEsPyu10te,Germany,1,0,0,-1,5,3,1,20,3. Student,0,NA,1
R_2yjAoiIuyp1PLkx,Denmark,1,1,0,-2,9,1,0,29,"4. Unemployed, searching",0,4,3
R_3s17eUSbsqX7ah3,Denmark,1,1,1,-1,8,3,0,46,1. Paid employee,1,6,6
R_3PESGO5QCDniMEx,Austria,1,0,1,-2,5,1,1,33,1. Paid employee,1,4,3
R_1mWXvaEyaZGpgn3,Italy,1,0,0,0,6,3,0,39,1. Paid employee,1,4,3
R_2e9d1R9qgxpc0Ue,Germany,1,1,1,1,3,2,1,23,3. Student,0,6,3
R_239sM76EFiLbAjd,Germany,1,1,0,-2,6,2,0,35,1. Paid employee,1,NA,8
R_1DUB2XsGxd9zFFc,Germany,1,1,1,-2,10,2,0,36,1. Paid employee,1,5,10
R_26aTsYvMtKTGMNS,Netherlands,1,1,1,1,0,1,0,45,2. Self-employed,1,6,3
R_RErAbRsFrEb93rj,Germany,0,0,0,-2,5,2,1,50,8. Working at home,0,3,7
R_1MRMryuP2e2PtRg,Hungary,0,1,0,-1,6,2,0,22,"4. Unemployed, searching",0,5,10
R_1zUP3LAB6uZlK9n,Greece,1,0,0,1,4,1,0,34,2. Self-employed,1,5,3
R_w0LIA6QubtK8T73,Poland,0,0,1,0,5,1,1,42,1. Paid employee,1,7,9
R_25sldlZjegMtcyG,Hungary,0,0,1,-1,7,2,0,20,1. Paid employee,1,6,10
R_3F56c9HRhWLt2Oj,Poland,0,0,1,-1,6,1,1,34,1. Paid employee,1,7,10
R_30ouTcliTxuaacZ,Poland,1,0,0,0,5,2,1,36,1. Paid employee,1,7,4
R_A7pb5YQVOYbfwNX,France,1,1,0,1,6,0,1,21,3. Student,0,5,6
R_32KKzxn1w2MTIKx,Czech Republic,1,0,0,-1,5,1,1,49,"4. Unemployed, searching",0,5,3
R_aW2DfRGMcVnAcVz,Netherlands,0,1,1,-2,5,1,1,40,1. Paid employee,1,3,3
R_sdKsm9pXAp91jWh,Germany,0,1,1,0,3,3,0,19,3. Student,0,2,6
R_ykZqyjchuQo9O3n,Denmark,0,1,1,0,5,1,1,35,1. Paid employee,1,6,3
R_1k05pNWdT7sD7Gj,Poland,0,1,1,1,4,2,0,40,2. Self-employed,1,7,10
R_29smPt6C1qIeYre,Hungary,0,1,1,1,5,3,0,32,1. Paid employee,1,5,10
R_1IlPADJ66GiIfR8,United Kingdom,0,1,1,-1,0,1,1,23,1. Paid employee,1,3,2
R_3fcmuRTeI8adMFQ,Norway,0,1,1,0,5,1,0,47,1. Paid employee,1,3,4
R_piroXLRV7tLyhHz,Netherlands,0,1,1,0,5,2,1,28,"5. Unemployed, not searching",0,6,4
R_3lFDT6do2rFssU8,Austria,0,0,1,-2,7,1,1,41,8. Working at home,0,3,5
R_1RNSCeGzD0XGodH,Austria,1,0,1,0,4,3,0,66,2. Self-employed,1,7,5
R_2R35X1nnJ23DU8Z,Netherlands,1,0,1,0,7,1,1,53,1. Paid employee,1,4,1
R_2xL6RwFQusisG1S,Norway,1,0,1,-2,6,1,0,59,1. Paid employee,1,3,7
R_3nC42OSkPJplJia,Hungary,1,1,1,-1,5,1,0,36,1. Paid employee,1,3,4
R_xo13MsV6c5wDVy9,Germany,1,1,1,2,3,3,0,58,1. Paid employee,1,7,9
R_24LQJaFnVo6mAKU,Denmark,1,0,1,0,3,1,1,37,1. Paid employee,1,6,6
R_3G7lkpk4U3PSX3y,Italy,0,1,0,-2,5,2,0,66,7. Retired,0,7,6
R_3RqjU6KCREP5d7d,Denmark,0,0,1,0,5,1,1,59,7. Retired,0,2,3
R_1dhPzDhEVsDLaDi,Denmark,0,0,0,1,10,0,1,34,1. Paid employee,1,2,8
R_cHFIihFMei0uuqZ,Norway,1,1,0,-2,5,1,1,32,1. Paid employee,1,7,9
R_2Uf7gmLODX3d9wL,Germany,1,1,0,-1,8,3,0,40,2. Self-employed,1,5,6
R_1P7XIiItASp1rPc,Spain,0,0,1,1,3,2,0,47,6. Chronic illness or permanent disability,0,5,8
R_2lBtfhdR4gBrAw9,Austria,1,1,1,-1,7,2,0,39,2. Self-employed,1,3,5
R_1PT4buaYn7KaUwH,Hungary,1,0,1,0,5,3,0,65,7. Retired,0,5,7
R_1gkoeJVurkpZVVR,Norway,1,1,1,0,4,1,1,31,8. Working at home,0,6,1
R_abmLnBix1iZZGCd,Greece,1,1,0,0,4,2,1,34,1. Paid employee,1,7,3
R_2zomwrjXsI1NEz4,Poland,1,1,1,-2,6,0,1,35,1. Paid employee,1,7,9
R_1EfUIF53sdK8qJP,Norway,1,1,1,0,4,0,1,49,1. Paid employee,1,6,4
R_3h3LCoSyWnvdOfR,Italy,0,1,1,0,3,2,1,41,1. Paid employee,1,6,5
R_12nZxcY7LEDGNVn,Germany,0,0,0,1,6,2,0,33,1. Paid employee,1,6,6
R_1PUi3gPZREDdlKb,Germany,0,1,1,-1,4,2,0,48,1. Paid employee,1,3,5
R_3shqKMBivjsIBTW,Austria,1,0,1,-2,6,3,0,23,3. Student,0,4,7
R_2t2UgfP30VlKB3N,Sweden,1,0,1,-1,7,2,1,66,7. Retired,0,3,4
R_33ECWRXW9nXbgT9,Germany,0,1,0,-2,5,1,1,57,2. Self-employed,1,5,3
R_2Enko8joTlmcdvz,Greece,0,0,0,0,5,0,0,22,"4. Unemployed, searching",0,5,4
R_2B8QkuSxqhPYLkR,Czech Republic,1,1,0,0,9,2,0,40,1. Paid employee,1,4,8
R_31RCv8zkkBcaOp8,Netherlands,0,1,1,-1,7,2,0,61,2. Self-employed,1,6,8
R_vUqaDeVWiwykZi1,Greece,1,1,1,1,4,3,1,27,1. Paid employee,1,7,7
R_0eqSTIX6NgTokRX,Sweden,0,0,1,-1,8,2,1,68,7. Retired,0,5,5
R_3NN4B1QnLdkHV3H,Austria,0,1,0,-2,5,2,1,35,8. Working at home,0,3,1
R_2VJzFmUMMU3XIOe,Germany,1,0,1,-1,2,3,1,61,1. Paid employee,1,3,6
R_3fIBPNbzOzmDSU2,Denmark,0,1,0,-2,5,2,1,50,7. Retired,0,2,2
R_3QW4RojK36iHYh2,Denmark,0,1,1,0,6,1,1,25,1. Paid employee,1,6,6
R_1kMKwwzNEOExJio,Czech Republic,1,0,0,0,3,3,1,25,1. Paid employee,1,5,7
R_3MRPkm5COg6IclG,Sweden,1,1,0,-2,5,2,1,56,6. Chronic illness or permanent disability,0,5,1
R_u3t2oGFSCRdXjOh,Norway,1,1,0,-2,8,3,1,54,1. Paid employee,1,7,6
R_1mLgMUxiWrAW4rx,Greece,0,0,1,0,0,2,0,26,2. Self-employed,1,5,3
R_3RvZw7k67DbC0ve,Austria,1,0,1,2,3,3,1,18,3. Student,0,2,3
R_xgxIiYl41DE6gdX,Czech Republic,1,1,1,-1,6,1,1,23,3. Student,0,6,5
R_RRMeb3LmojLAjn3,Netherlands,1,0,0,-2,8,1,0,39,1. Paid employee,1,2,3
R_yjYGHawrZv2dRVn,Norway,1,1,1,-2,5,1,0,31,1. Paid employee,1,2,2
R_3lAGzHylu05y6xm,Switzerland,0,0,1,2,4,2,1,38,2. Self-employed,1,6,3
R_3hfM7PxNNgmRiwS,Switzerland,0,0,1,-1,5,2,0,21,1. Paid employee,1,5,3
R_Z3K039sXeyPQA1P,Hungary,0,1,1,0,3,3,1,61,7. Retired,0,4,8
R_3MsTJSM4uK7jeYZ,Hungary,0,0,1,-1,10,2,0,63,2. Self-employed,1,6,10
R_1mfnhT30wagRkWp,Germany,1,0,1,-2,8,1,0,28,3. Student,0,6,6
R_1KlltAC3ymXz8Zh,United Kingdom,0,0,0,-2,8,2,0,52,1. Paid employee,1,2,7
R_2QmMmCdJ3jxueRR,Denmark,0,1,0,-1,5,0,1,49,8. Working at home,0,4,3
R_1f71H6ywEChRbwa,Germany,0,0,1,-2,5,0,1,18,1. Paid employee,1,5,5
R_p0oVyuh6tPfWgW5,Hungary,1,0,1,0,3,2,0,32,2. Self-employed,1,4,10
R_2U5uua0cIWrmamf,France,1,1,0,-2,10,0,0,50,1. Paid employee,1,3,4
R_Z9TT7sVEn1tLCw1,Poland,0,0,1,-1,8,1,0,26,1. Paid employee,1,3,6
R_3r2oBqfW2iS41Ra,Denmark,0,1,1,-1,5,1,1,51,1. Paid employee,1,3,2
R_22QZLE5QeLdhR8I,Germany,1,0,1,0,1,1,0,55,2. Self-employed,1,5,8
R_3qZDyfKUqvP3J0O,Norway,0,0,0,0,4,2,0,40,"5. Unemployed, not searching",0,4,7
R_3PaAi5p3fzZ15ci,Hungary,0,1,1,0,9,3,1,43,2. Self-employed,1,3,5
R_1Fan5UcTdjOqoJY,Austria,0,0,1,0,3,3,1,43,1. Paid employee,1,5,3
R_Qh06IxI00uwJFjX,Italy,1,0,0,-2,5,1,1,29,"4. Unemployed, searching",0,4,1
R_2wBn49D3FR5SmxB,Sweden,0,0,0,0,7,3,1,38,"4. Unemployed, searching",0,NA,8
R_3dKBwUsGGxzBTa6,Poland,0,0,1,0,4,0,1,21,8. Working at home,0,4,5
R_1QzPTLAOyfU6o4k,Austria,1,0,1,0,3,3,0,23,1. Paid employee,1,4,2
R_1Dwk39RDxHYWbSu,Norway,1,1,1,0,7,1,0,32,1. Paid employee,1,6,5
R_24CuwHNzaypadkT,Greece,0,0,1,-2,10,1,1,31,"4. Unemployed, searching",0,7,4
R_2tfKmMQ8aDsV1VH,Netherlands,0,1,1,-2,5,2,1,66,7. Retired,0,3,4
R_3hgqUgPfVVIUWeK,Norway,1,1,1,-1,0,3,0,59,1. Paid employee,1,6,5
R_24IxdSh1vt3liSq,Denmark,0,1,0,-2,8,0,1,35,6. Chronic illness or permanent disability,0,2,5
R_2RNYv0CWtg9PImM,Norway,1,1,0,-1,10,1,1,59,1. Paid employee,1,5,10
R_30qkCaRE5PXHiat,Sweden,1,0,1,-2,3,2,1,44,7. Retired,0,2,2
R_tJWlV2IOF2DBszv,France,1,0,1,0,7,2,1,29,1. Paid employee,1,4,8
R_3f9MMIdtvTffCAZ,Switzerland,1,0,0,-2,5,2,0,34,2. Self-employed,1,7,10
R_1IGE0lsvs9jvndx,Denmark,1,1,1,1,2,1,1,59,1. Paid employee,1,6,7
R_8IFrnctRKsPbKSJ,Sweden,0,1,1,-2,6,2,0,60,6. Chronic illness or permanent disability,0,3,6
R_yIpgyx9se36EC1X,Austria,0,0,0,-2,5,3,0,28,1. Paid employee,1,3,4
R_31Zy9b6rAeuuGhM,Norway,1,0,1,0,8,2,0,23,"4. Unemployed, searching",0,4,1
R_a5BnkDSPhWBAQZv,Poland,0,1,0,-2,5,3,0,49,"4. Unemployed, searching",0,4,1
R_3GAPHGu5dSnl4fb,Norway,1,1,1,-1,9,1,1,31,1. Paid employee,1,5,5
R_PUGt17edWzs1ECB,Norway,1,1,1,-2,8,1,1,49,"4. Unemployed, searching",0,6,3
R_ZLb2T1RvZgRaPYZ,Netherlands,0,1,1,-1,8,2,1,24,"4. Unemployed, searching",0,6,1
R_2YY3C4unWpzB37F,Norway,1,0,1,-1,8,0,0,45,1. Paid employee,1,5,6
R_1FEBp8MwqKE48gz,Poland,1,0,1,-2,8,1,0,47,1. Paid employee,1,7,10
R_3RlRMtj8N0uo0gZ,Czech Republic,1,0,0,-2,6,2,0,32,1. Paid employee,1,5,6
R_2CpsreFK6ToTfLk,Switzerland,1,0,1,1,6,3,0,47,2. Self-employed,1,4,3
R_29tW5KYUnUFGoJd,Switzerland,0,0,1,-2,5,3,1,43,1. Paid employee,1,6,3
R_NUqbqxHDsMwp7qN,France,1,1,0,-2,5,1,1,27,"4. Unemployed, searching",0,2,1
R_3kLG86ck0wvFbBu,Czech Republic,1,0,1,-2,5,2,1,25,3. Student,0,6,4
R_UKqemuAACCW9CYp,Greece,0,1,1,-1,7,3,0,41,1. Paid employee,1,6,4
R_2rrbn92P3XEbvXi,Switzerland,1,0,0,-2,9,1,0,48,6. Chronic illness or permanent disability,0,7,2
R_Q3AfiK3l4pRjdRL,Germany,0,0,1,0,6,2,0,30,1. Paid employee,1,6,8
R_1mrfElm9s7HKtJG,Switzerland,1,1,0,-1,5,3,1,18,1. Paid employee,1,2,7
R_1MRHRFgpnfGjh3D,Germany,0,0,1,0,2,3,1,65,7. Retired,0,5,4
